Source,Target,Type,Id,Label,Weight
19870447,42107811,Undirected,55628,,1
19870447,39832662,Undirected,55629,,1
19870447,38959434,Undirected,55630,,1
19870447,38155234,Undirected,55631,,1
19870447,30842579,Undirected,55632,,1
19870447,28028328,Undirected,55633,,1
19870447,25461832,Undirected,55634,,1
19870447,24895471,Undirected,55635,,1
19870447,20456309,Undirected,55636,,1
19870447,19732774,Undirected,55637,,1
19870447,19726339,Undirected,55638,,1
19870447,19171792,Undirected,55639,,1
19870447,18702334,Undirected,55640,,1
19870447,17633204,Undirected,55641,,1
19870447,17335142,Undirected,55642,,2
19870447,16789777,Undirected,55643,,1
19870447,16203659,Undirected,55644,,1
19870447,15486045,Undirected,55645,,1
19870447,15033614,Undirected,55646,,1
19870447,14559378,Undirected,55647,,1
19870447,12994989,Undirected,55648,,1
19870447,12757155,Undirected,55649,,1
19870447,9162283,Undirected,55650,,1
19870447,4605360,Undirected,55651,,1
19870447,3397907,Undirected,55652,,1
19870447,2088681,Undirected,55653,,1
19870447,2084490,Undirected,55654,,1
19870447,1274749,Undirected,55655,,1
19870447,1274695,Undirected,55656,,1
19870447,1074926,Undirected,55657,,1
19870447,892330,Undirected,55658,,1
19870447,498307,Undirected,55659,,1
19870447,461112,Undirected,55660,,1
19870447,255686,Undirected,55661,,2
19870447,209903,Undirected,55662,,2
19732774,54927733,Undirected,55663,,1
19732774,54544432,Undirected,55664,,2
19732774,54490768,Undirected,55665,,1
19732774,54482041,Undirected,55666,,1
19732774,54366565,Undirected,55667,,2
19732774,54266503,Undirected,55668,,1
19732774,54211585,Undirected,55669,,2
19732774,53984458,Undirected,55670,,1
19732774,53909569,Undirected,55671,,1
19732774,53594146,Undirected,55672,,1
19732774,52876180,Undirected,55673,,1
19732774,52210180,Undirected,55674,,1
19732774,51889174,Undirected,55675,,1
19732774,51630295,Undirected,55676,,1
19732774,51311233,Undirected,55677,,1
19732774,51105304,Undirected,55678,,1
19732774,51079927,Undirected,55679,,1
19732774,50636797,Undirected,55680,,3
19732774,50373892,Undirected,55681,,1
19732774,50091106,Undirected,55682,,1
19732774,49829137,Undirected,55683,,1
19732774,49707442,Undirected,55684,,2
19732774,49623253,Undirected,55685,,1
19732774,49469083,Undirected,55686,,4
19732774,49439095,Undirected,55687,,1
19732774,49414159,Undirected,55688,,1
19732774,49398799,Undirected,55689,,1
19732774,49375315,Undirected,55690,,1
19732774,48998986,Undirected,55691,,1
19732774,48655072,Undirected,55692,,1
