Source,Target,Type,Id,Label,Weight
55140385,50091712,Undirected,176,,1
55140385,50033236,Undirected,177,,1
55140385,49696918,Undirected,178,,1
55140385,49635376,Undirected,179,,1
55140385,49480597,Undirected,180,,2
55140385,49371913,Undirected,181,,1
55140385,48663661,Undirected,182,,1
55140385,48383845,Undirected,183,,1
55140385,47671984,Undirected,184,,1
55140385,47458630,Undirected,185,,1
55140385,47436889,Undirected,186,,1
55140385,47319151,Undirected,187,,1
55140385,47238874,Undirected,188,,1
55140385,46867873,Undirected,189,,1
55140385,46783768,Undirected,190,,1
55140385,46778032,Undirected,191,,1
55140385,46752670,Undirected,192,,1
55140385,46441225,Undirected,193,,1
55140385,46367437,Undirected,194,,1
55140385,46365688,Undirected,195,,1
55140385,45990502,Undirected,196,,1
55140385,45707137,Undirected,197,,1
55140385,45656128,Undirected,198,,2
55140385,45557356,Undirected,199,,1
55140385,45262036,Undirected,200,,1
55140385,45261853,Undirected,201,,1
55140385,45088921,Undirected,202,,1
55140385,45035839,Undirected,203,,1
55140385,44963617,Undirected,204,,1
55140385,44897836,Undirected,205,,1
55140385,44757718,Undirected,206,,1
55140385,44755155,Undirected,207,,1
55140385,44732743,Undirected,208,,1
55140385,44523739,Undirected,209,,1
55140385,44385730,Undirected,210,,1
55140385,44383567,Undirected,211,,1
55140385,44363299,Undirected,212,,1
55140385,44359531,Undirected,213,,1
55140385,44214046,Undirected,214,,1
55140385,43899033,Undirected,215,,1
55140385,43889862,Undirected,216,,1
55140385,43765851,Undirected,217,,1
55140385,43627710,Undirected,218,,1
55140385,43605172,Undirected,219,,1
55140385,43358442,Undirected,220,,1
55140385,43344643,Undirected,221,,1
55140385,43342293,Undirected,222,,1
55140385,43309689,Undirected,223,,1
55140385,43309264,Undirected,224,,1
55140385,43241698,Undirected,225,,1
55140385,43158394,Undirected,226,,1
55140385,43144594,Undirected,227,,1
55140385,42859368,Undirected,228,,1
55140385,42708519,Undirected,229,,1
55140385,42488337,Undirected,230,,1
55140385,42467853,Undirected,231,,1
55140385,42391209,Undirected,232,,1
55140385,41759385,Undirected,233,,1
55140385,41640003,Undirected,234,,1
55140385,41635680,Undirected,235,,1
55140385,41241234,Undirected,236,,1
55140385,40512330,Undirected,237,,1
55140385,40203960,Undirected,238,,1
55140385,40042404,Undirected,239,,1
55140385,39943224,Undirected,240,,1
55140385,39792693,Undirected,241,,1
55140385,39768741,Undirected,242,,1
55140385,39676704,Undirected,243,,1
55140385,39590991,Undirected,244,,1
55140385,39399174,Undirected,245,,1
55140385,39398265,Undirected,246,,1
55140385,39398130,Undirected,247,,1
55140385,39251949,Undirected,248,,2
55140385,39006924,Undirected,249,,1
55140385,37912996,Undirected,250,,1
55140385,36096208,Undirected,251,,1
55140385,35429644,Undirected,252,,1
55140385,35343661,Undirected,253,,2
55140385,35342587,Undirected,254,,1
55140385,35151154,Undirected,255,,1
55140385,35028649,Undirected,256,,1
55140385,35027962,Undirected,257,,1
55140385,35027806,Undirected,258,,1
55140385,35027128,Undirected,259,,1
55140385,34986325,Undirected,260,,1
55140385,34970776,Undirected,261,,1
55140385,34906729,Undirected,262,,1
55140385,34891807,Undirected,263,,1
55140385,34751296,Undirected,264,,1
55140385,34717030,Undirected,265,,1
55140385,34410700,Undirected,266,,1
55140385,34323934,Undirected,267,,1
55140385,33830992,Undirected,268,,1
55140385,33715321,Undirected,269,,1
55140385,32684734,Undirected,270,,1
55140385,32340457,Undirected,271,,1
55140385,32247706,Undirected,272,,1
55140385,32064610,Undirected,273,,1
55140385,31981432,Undirected,274,,1
55140385,31909897,Undirected,275,,1
55140385,31909720,Undirected,276,,1
55140385,31909642,Undirected,277,,1
55140385,31818055,Undirected,278,,1
55140385,31266170,Undirected,279,,1
55140385,31261022,Undirected,280,,1
55140385,31250579,Undirected,281,,1
55140385,30982418,Undirected,282,,2
55140385,30714734,Undirected,283,,1
55140385,30607886,Undirected,284,,1
55140385,30570080,Undirected,285,,1
55140385,30550911,Undirected,286,,1
55140385,30550875,Undirected,287,,1
55140385,30550791,Undirected,288,,1
55140385,30529788,Undirected,289,,1
55140385,30080655,Undirected,290,,1
55140385,30027444,Undirected,291,,1
55140385,29961414,Undirected,292,,1
55140385,29242884,Undirected,293,,2
55140385,29241393,Undirected,294,,1
55140385,28047516,Undirected,295,,2
55140385,28028118,Undirected,296,,2
55140385,27789625,Undirected,297,,1
55140385,27772279,Undirected,298,,2
55140385,27701111,Undirected,299,,1
55140385,27684952,Undirected,300,,1
55140385,27654652,Undirected,301,,1
55140385,27623804,Undirected,302,,1
55140385,27619385,Undirected,303,,1
55140385,27615719,Undirected,304,,1
55140385,27583675,Undirected,305,,1
55140385,27572062,Undirected,306,,2
55140385,27557815,Undirected,307,,1
55140385,27555907,Undirected,308,,1
55140385,27277072,Undirected,309,,1
55140385,26130079,Undirected,310,,1
55140385,26130028,Undirected,311,,1
55140385,25992556,Undirected,312,,1
55140385,25667278,Undirected,313,,1
55140385,25618231,Undirected,314,,1
55140385,25015054,Undirected,315,,1
55140385,24715597,Undirected,316,,1
55140385,24355252,Undirected,317,,1
55140385,24266914,Undirected,318,,1
55140385,23869906,Undirected,319,,1
55140385,23508133,Undirected,320,,1
55140385,22825783,Undirected,321,,1
55140385,21931519,Undirected,322,,1
55140385,21791515,Undirected,323,,1
55140385,20933204,Undirected,324,,1
55140385,19345435,Undirected,325,,1
55140385,19216210,Undirected,326,,1
55140385,18472108,Undirected,327,,2
55140385,18065339,Undirected,328,,1
55140385,17633177,Undirected,329,,1
55140385,16572176,Undirected,330,,2
55140385,15479217,Undirected,331,,1
55140385,14260626,Undirected,332,,1
55140385,13731363,Undirected,333,,1
55140385,10258112,Undirected,334,,1
55140385,9420512,Undirected,335,,1
55140385,7084837,Undirected,336,,2
55140385,4354898,Undirected,337,,1
55140385,3969237,Undirected,338,,3
55140385,3665940,Undirected,339,,1
55140385,3482228,Undirected,340,,1
55140385,2337758,Undirected,341,,1
